Seq,Year,Region,myVar,sqrtSeedWidth_mm,sqrtSeed_length_mm,sqrtDispersal_length_mm,sqrtDispersal_and_seed_mm,sqrtSeedShapeIndex,Weight_Tot,Weight_S,Weight_D
132,2002,Alvar,1.473431369,0.998498873,1.709093327,7.367631913,7.56326649,1.711662749,0.0067,0.0034,0.0033
133,2002,Alvar,1.277888884,1.079814799,1.66162571,7.277156038,7.464449075,1.538806202,0.0067,0.0034,0.0033
134,2002,Alvar,1.460479373,0.998498873,1.593737745,7.278530071,7.450973091,1.596133744,0.0067,0.0034,0.0033
135,2002,Alvar,1.357571361,1.237739876,1.609036979,7.140028011,7.319084642,1.299979916,0.0067,0.0034,0.0033
136,2002,Prairie,1.225153052,0.996493853,1.566843962,6.386078609,6.575484773,1.572356875,0.0066,0.0034,0.0032
137,2002,Prairie,1.136221809,0.760920495,1.526433752,4.661008475,4.904589687,2.006035797,0.0066,0.0034,0.0032
138,2002,Prairie,1.264515718,0.955510335,1.689674525,6.244517595,6.469080306,1.768347723,0.0066,0.0034,0.0032
139,2002,Prairie,1.196662024,0.962808392,1.64468842,6.308486348,6.519355796,1.708219863,0.0066,0.0034,0.0032
140,2002,Prairie,1.346105494,0.995489829,1.690266251,6.332298161,6.554006408,1.697924179,0.0066,0.0034,0.0032
141,2002,Alvar,1.376226726,1.068176015,1.801943395,6.968285298,7.197499566,1.686934896,0.0064,0.0034,0.003
142,2002,Alvar,1.218195387,0.958123165,1.710263138,6.923655104,7.131759951,1.785013868,0.0064,0.0034,0.003
143,2002,Alvar,1.194571053,0.933273808,1.618332475,6.623971618,6.818797548,1.734038245,0.0064,0.0034,0.003
144,2002,Alvar,1.374045123,0.941806774,1.49298359,7.096407542,7.251758407,1.585233437,0.0064,0.0034,0.003
145,2002,Alvar,1.163185282,0.959166305,1.653481176,7.152621897,7.341253299,1.723873293,0.0064,0.0034,0.003
146,2002,Alvar,1.526761278,0.881476035,1.730028901,7.153880066,7.360095108,1.962649957,0.0071,0.0033,0.0038
147,2002,Alvar,1.372224471,0.950789146,1.703819239,7.377262365,7.571459569,1.792005353,0.0071,0.0033,0.0038
148,2002,Alvar,1.353513945,0.898331787,1.615858905,6.352479831,6.554769256,1.79873286,0.0071,0.0033,0.0038
149,2002,Alvar,1.089954127,0.725258575,1.516575089,6.785425558,6.952841146,2.091081915,0.0071,0.0033,0.0038
150,2002,Alvar,1.404635184,0.913783344,1.651665826,6.874299964,7.06993635,1.807502661,0.0071,0.0033,0.0038
151,2002,Alvar,1.42126704,1.008464179,1.654388104,7.220041551,7.4071587,1.640502597,0.0064,0.0033,0.0031
152,2002,Alvar,1.410673598,1.068176015,1.737239189,7.104294476,7.313617436,1.626360416,0.0064,0.0033,0.0031
153,2002,Alvar,1.48526092,1.041633333,1.56971335,6.447712773,6.636037975,1.50697304,0.0064,0.0033,0.0031
154,2002,Alvar,1.637986569,1.124277546,1.637070554,7.143038569,7.328233075,1.456108912,0.0064,0.0033,0.0031
155,2002,Alvar,1.502331521,1.02859127,1.6673332,7.379769644,7.565778215,1.62098712,0.0064,0.0033,0.0031
156,2002,Alvar,1.261348485,0.692098259,1.710847743,6.72599435,6.940172909,2.471972326,0.0063,0.0033,0.003
157,2002,Alvar,1.304607221,0.883176087,1.692631088,6.194513702,6.421604161,1.916527308,0.0063,0.0033,0.003
158,2002,Alvar,1.245391505,0.721110255,1.624807681,5.401296141,5.640390057,2.253202849,0.0063,0.0033,0.003
159,2002,Alvar,1.476482306,0.978263768,1.4366628,5.988321969,6.158246504,1.468584288,0.0063,0.0033,0.003
160,2002,Alvar,1.363084737,0.940744386,1.653481176,7.178648898,7.366613876,1.75763066,0.0063,0.0033,0.003
161,2002,Alvar,1.088577053,0.773950903,1.583350877,6.856238036,7.036689563,2.045802739,0.0078,0.0032,0.0046
162,2002,Alvar,1.529378959,1.120714058,1.640426774,7.647875522,7.821828431,1.463733556,0.0078,0.0032,0.0046
163,2002,Alvar,1.194571053,0.801872808,1.672124397,6.590826959,6.799632343,2.08527385,0.0078,0.0032,0.0046
164,2002,Alvar,1.742412121,1.078888317,1.94345054,8.205303163,8.43231878,1.801345431,0.0078,0.0032,0.0046
165,2002,Alvar,1.718429516,1.074709263,1.818790807,8.054315613,8.257118141,1.692356128,0.0078,0.0032,0.0046
166,2002,Alvar,1.143678276,0.887130205,1.642863354,7.354114495,7.535383202,1.851885265,0.0067,0.0032,0.0035
167,2002,Alvar,1.187434209,0.911592014,1.569076161,7.002927959,7.176559064,1.721248253,0.0067,0.0032,0.0035
168,2002,Alvar,1.224336555,0.940744386,1.583666632,6.861340977,7.041732741,1.683418636,0.0067,0.0032,0.0035
169,2002,Alvar,1.23247718,0.942337519,1.540779024,7.284160899,7.445334109,1.635060679,0.0067,0.0032,0.0035
170,2002,Alvar,1.204159458,0.95131488,1.602186007,7.238715356,7.413905853,1.684180539,0.0067,0.0032,0.0035
171,2002,Alvar,1.659216683,1.170042734,1.815764302,7.604472368,7.818247886,1.551878618,0.0064,0.0032,0.0032
172,2002,Alvar,1.28724512,0.833066624,1.599374878,5.949537797,6.16076294,1.919864308,0.0064,0.0032,0.0032
173,2002,Alvar,1.575753788,1.180677771,1.680178562,7.367428317,7.556586531,1.423062755,0.0064,0.0032,0.0032
174,2002,Alvar,1.554027027,1.178558441,1.6673332,7.107038764,7.3,1.414722547,0.0064,0.0032,0.0032
175,2002,Alvar,1.627267649,1.173030264,1.608415369,7.388301564,7.561349086,1.371162722,0.0064,0.0032,0.0032
176,2002,Prairie,1.438054241,0.922496612,1.671526249,5.160717004,5.424665888,1.811959227,0.0062,0.0032,0.003
177,2002,Prairie,1.357203006,0.92141196,1.642863354,5.328602068,5.576109755,1.782984621,0.0062,0.0032,0.003
